Client Name,Position,Status,Vertical,Sub Vertical,Functional Expertise,Physical Address,Type,Min High Pressure Phone Sales Experience  (Months),Min Experience in selling In specified vertical (Months),FFM,License,Health Sherpa,TLD Experience,States,Required states,Avg  Age of current employees (years),Office Hours,Weekly Base,Draw,Commission,Avg Weekly Income,Revenue,Job URL,Hot,Hire Rate,4 week attrition rate,Job Id,Candidate Description
Lifetime Health Solutions,Licensed ACA Health Insurance Agent,Open,Health,ACA,Sales,"5499 N Federal Hwy f, Boca Raton, FL 33487, USA",In-Person,6,6,TRUE,TRUE,TRUE,FALSE,1,,28,9am-6pm m-f EST,$500.00 ,$0.00 , 0-50 is $10 51-100 is $15 101+ is $20,"$1,800 ",$100.00 ,,1,1,1,,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 11 states AL, AZ, IN, LA, MI, MS, NE, NH, OK, SC, TN, and possesses an active 2024 FFM certification."
Synergy,Licensed ACA Health Insurance Agent,Open,Health,ACA,Sales,"350 Camino Gardens Blvd #201, Boca Raton, FL 33432, USA",In-Person,12,6,TRUE,TRUE,TRUE,FALSE,15,,28,9 am - 5 pm m-f  EST,$600.00 ,$0.00 ,$15-$20 per deal,"$2,200 ",$100.00 ,,0,1,1,,
Fortis Health Options,Licensed ACA Health Insurance Agent,On-hold,Health,ACA,Sales,"350 Camino Gardens Blvd Suite 103, Boca Raton, FL 33432, USA",In-Person,12,6,TRUE,TRUE,TRUE,FALSE,15,,35,"Monday to Friday, 9:00 AM - 6:00 PM EST",$0.00 ,$0.00 ,20-30 per member,"$2,200 ",$150.00 ,,0,1,1,,
Affordable Insurance Advisors,Health Insurance Sales Agent,Closed,Health,Limited ,Sales,"23123 FL-7 350 B, Boca Raton, FL 33428, USA",In-Person,24,6,FALSE,FALSE,FALSE,FALSE,0,,38,"Monday to Friday, 9 am - 6 pm EST",$0.00 ,$500.00 ,30-40% Core + 60-70% ancillary,"$1,300 ",$200.00 ,,0,1,1,,
MAP Insurance,Health Insurance Sales Agent,Open,Health,Limited ,Sales,"8000 N Federal Hwy, Boca Raton, FL 33487, USA",In-Person,12,2,FALSE,FALSE,FALSE,FALSE,1,,32,"10 am to 6 pm, Monday to Friday EST",$0.00 ,$800.00 ,$20 per deal,"$1,200 ",$120.00 ,https://worxwebsolutions.vincere-digital.io/job/health-insurance-sales-agent-35965,0,1,1,35965,Experienced Health Insurance Agent. Skilled in selling Indemnity and ACA plans. Proven sales track record. Exceptional customer service skills. Motivated and driven. Licensed or non-licensed. Preferred experience in Indemnity and ACA sales. Set shift availability required. Licensed agents need 2-15 or 2-40 license. Valid FFM certification needed.
Healthie LLC,Health Insurance Sales Agent,Closed,Health,Limited ,Sales,"7281 Lake Worth Rd, Lake Worth Beach, FL 33467, USA",In-Person,12,3,FALSE,FALSE,FALSE,FALSE,0,,35,"Open Enrollment - 9 AM to 9 PM, Outside Open Enrollment - 9 AM to 5 PM EST",$750.00 ,$500.00 ,30-40% Core + 60-70% ancillary,"$1,200 ",$200.00 ,,0,1,1,,
Evolved Insurance Agency,Licensed ACA Health Insurance Agent,Closed,Health,ACA,Sales,"500 Fairway Dr #206, Deerfield Beach, FL 33441, USA",In-Person,12,12,FALSE,TRUE,FALSE,FALSE,0,"DE, FL, GA, LA, MI, NC, OH, OK, SC, TX",28,9am-9pm EST,$0.00 ,$500.00 ,10 per deal,"$2,000 ",$100.00 ,,0,1,1,,
Health Prime,Licensed ACA Health Insurance Agent,Closed,Health,ACA,Sales,"2800 Gateway Dr #102, Pompano Beach, FL 33069, USA",In-Person,12,12,TRUE,TRUE,FALSE,FALSE,15,,28,10am-6pm ,"$1,200.00 ",$0.00 ,"Bonuses include $250 for the week for closing 50 deals in a week. $500 for the week for closing 75 deals in a week, and $750 for the week for closing 100 deals in a week","$2,000 ",$100.00 ,,0,1,1,,
Proactive Health,Health Insurance Sales Agent,On-hold,Health,Limited ,Sales,"900 N Federal Hwy #440, Boca Raton, FL 33432, USA",In-Person,3,0,FALSE,FALSE,FALSE,FALSE,0,,27,10-6   M-F,$0.00 ,$500.00 ,30-40% Core + 60-70% ancillary,"$1,800 ",$200.00 ,,0,1,1,,
Movesafe Relocation,Sales and Logistics Coordinator,On-hold,Moving,Long Distnace Moving Brokerage,Sales,"811 Lucerne Ave, Lake Worth Beach, FL 33460, USA",In-Person,12,3,FALSE,FALSE,FALSE,FALSE,0,,31,,$375.00 ,$0.00 ,Daily bonuses,"$1,700 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/experienced-moving-brokerage-sales-representative-35757,0,1,1,35757,"Experienced Sales/Logistics Coordinator. Prior sales background, preferably in the moving industry. Proficient with computer and phone systems. Available 9am-6pm Monday through Friday, and every other Saturday. Self-motivated, relentless pursuit of success. Dependable transportation to Lake Worth office required. Handles inbound calls professionally. Engages potential clients. Manages entire sales process smoothly. Maintains client engagement with follow-up. Crafts persuasive voicemails. Closes deals with confidence. Front-runner in moving and storage industry. Extensive industry experience."
Jorant Wellness,Telemarketing Representative,Closed,Genetics,Genetics,Sales,"900 N Federal Hwy #480, Boca Raton, FL 33432, USA",In-Person,3,0,FALSE,FALSE,FALSE,FALSE,0,,38,10 am to 6 pm Monday to Thursday and 10 am to 5 pm Friday EST,$550.00 ,$0.00 ,,$800 ,$50.00 ,,0,1,1,,
Odyssey Health,Health Insurance Sales Agent,Closed,Health,Limited ,Sales,"200 W Palmetto Park Rd # 304, Boca Raton, FL 33432, USA",In-Person,6,0,FALSE,FALSE,FALSE,FALSE,0,,29,9-6 m-f (extended for open enrollment),$0.00 ,$400.00 ,30-40% Core + 60-70% ancillary,"$1,000 ",$125.00 ,,0,1,1,,
Truesource Insurance,Health Insurance Sales Agent,On-hold,Health,Limited ,Sales,"150 E Sample Rd #210, Pompano Beach, FL 33064, USA",In-Person,12,6,FALSE,FALSE,FALSE,FALSE,0,,31,,$0.00 ,$500.00 ,30-40% Core + 60-70% ancillary,"$1,000 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/health-insurance-sales-agent-36003,0,1,1,36003,"Experienced Call Center Sales Agent. Relentless, positive attitude. Energy and professionalism in every call. Consistent punctuality. Reliable and dependable. Driven mindset. Ambitious and dedicated. Fluent in English. Clear, professional communication. Available 10 AM to 7 PM. On time every day. Experience in call center closing sales."
Stoic Insurance Group,Licensed ACA Health Insurance Agent,On-hold,Health,ACA,Sales,"4400 N Federal Hwy #400, Boca Raton, FL 33431, USA",In-Person,12,6,TRUE,TRUE,FALSE,FALSE,0,,31,9 am - 5 pm m-f EST,$500.00 ,$600.00 ,"$10-$25 per deal, based on performance","$1,600 ",$100.00 ,,0,1,1,,
Call Health,Licensed ACA Health Insurance Agent,Open,Health,ACA,Sales,"301 N Hwy 190, Louisiana 70433, USA",In-Person,3,0,FALSE,TRUE,FALSE,FALSE,15,,35,9-5 m-f CST,"$1,000.00 ",$0.00 ,$20 per application for up to 20 apps each day. $40 per application for each app sold over 20 per day.,"$2,500 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35928,0,1,1,35928,"Professional, punctual, and respectful. Available Monday through Friday, 9 AM to 5 PM. Active 215 or 240 license in at least 15 states. Prefer 2024 FFM certified. Solid foundation in ACA health insurance sales. Successful sales history. Reliable transportation to Covington office."
Cozmo,Licensed ACA Health Insurance Agent,Closed,Health,ACA,Sales,"1 Oakwood Blvd #218, Hollywood, FL 33020, USA",In-Person,3,6,TRUE,TRUE,TRUE,FALSE,15,,35,9am-6pm EST M-F ,$800.00 ,$0.00 ,10-20/deal,"$2,000 ",$100.00 ,,0,1,1,,
Peak Plans,Remote Licensed ACA Health Insurance Agent,On-hold,Health,ACA,Sales,Remote,Remote,24,12,FALSE,TRUE,TRUE,FALSE,13,"AZ, FL, GA, IN, KS, MI, MO, MS, NC, OH, OK, SC, TN, TX, WI",38,"9am-6pm EST, Monday-Friday",$960.00 ,$0.00 ,15-20/deal,"$2,500 ",$100.00 ,,0,1,1,,
Gaza Jerk Boss,Health Insurance Sales Agent,Closed,Health,Limited ,Sales,"3325 Hollywood Blvd #305, Hollywood, FL 33021, USA",In-Person,3,0,FALSE,FALSE,FALSE,FALSE,0,,30,M-S 9:30am -7pm ,$0.00 ,$0.00 ,30-40% Core + 60-70% ancillary,"$1,000 ",$200.00 ,,0,1,1,,
International Travel Professionals,Telemarketing Representative,Closed,Vacations,Vacations,Sales,"4570 Lake Worth Rd Fl 3346, Lake Worth Beach, FL 33463, USA",In-Person,3,0,FALSE,FALSE,FALSE,FALSE,0,,33,,$0.00 ,$400.00 ,15% of sale for fronter,$900 ,$75.00 ,,0,1,1,,
Sun Fun Travel,Telemarketing Representative (Sales),Open,Vacations,Vacations,Sales,"1551 Forum Pl #500c, West Palm Beach, FL 33401, USA",In-Person,3,0,FALSE,FALSE,FALSE,FALSE,0,,38,,$0.00 ,$600.00 ,15% of sale for fronter,$900 ,$75.00 ,,0,1,1,,
Trade Show Travel,Telemarketing Representative (Vacations),Open,Vacations,Vacations,Sales,"2708 N Australian Ave Suite 2, West Palm Beach, FL 33407, USA",In-Person,1,0,FALSE,FALSE,FALSE,FALSE,0,,33,,$0.00 ,$400.00 ,15% of sale for fronter,$900 ,$75.00 ,https://worxwebsolutions.vincere-digital.io/job/telemarketing-representative-vacations-35604,0,1,1,35604," Experienced Vacation sales and wants to work Full-time, 8-hour shift. Sell vacation packages to warm leads from social media. Surpass sales targets. Engage persuasively with clients. Keep detailed sales records. Continuously improve sales skills. Minimum three months of telemarketing experience. Exceptional communication and interpersonal skills. Strong sales skills. Thrives in fast-paced, goal-driven environment. Clean and professional appearance. Punctual and reliable. Commute to West Palm Beach, FL, or plans to relocate."
Eagle Moving Group,Customer Service Representative,Open,Moving,Long Distnace Moving Brokerage,Customer Service,"1325 S Congress Ave #110, Boynton Beach, FL 33426, USA",In-Person,1,0,FALSE,FALSE,FALSE,FALSE,0,,33,,$300.00 ,$0.00 ,up to 30% based on binders,"$2,000 ",$150.00 ,,0,1,1,,
Facebook,Telemarketing Fronter (Vacations),Open,Vacations,Vacations,Sales,"2677 Forest Hill Blvd #126, West Palm Beach, FL 33406, USA",In-Person,1,0,FALSE,FALSE,FALSE,FALSE,0,,38,,$0.00 ,$400.00 ,15% of sale for fronter,$900 ,$75.00 ,https://worxwebsolutions.vincere-digital.io/job/telemarketing-fronter-vacations-35595,0,1,1,35595,"
Experienced Telemarketer. Engage and close deals on vacation packages. Leverage warm leads from social media. Smash sales targets. Contribute to team success. Communicate effectively and persuasively. Maintain accurate sales records. Continuously improve sales skills. Minimum three months of telemarketing or related sales experience. Exceptional communication and interpersonal skills. Proven sales ability. Track record of meeting or exceeding targets. Thrives in fast-paced, goal-oriented environment. Reliable commute to West Palm Beach, FL, or willing to relocate."
A.I. Insurance Agency,Health Insurance Sales Agent,Closed,Health,ACA/Limited,Sales,"3340 NW 53rd St #307, Fort Lauderdale, FL 33309, USA",In-Person,3,1,FALSE,TRUE,TRUE,FALSE,0,,31,,$0.00 ,$0.00 ,30-40% Core + 60-70% ancillary,"$1,000 ",$200.00 ,,0,1,1,,
Everest Health Solutions,Experienced U65 Health Insurance Customer Service,Closed,Health,Limited ,Customer Service,"550 Fairway Dr #106, Deerfield Beach, FL 33441, USA",In-Person,3,12,FALSE,FALSE,FALSE,FALSE,1,,31,"8 AM - 5 PM, Monday to Friday","$1,000.00 ",$0.00 ,bonuses,"$1,000 ",$100.00 ,,0,1,1,,
Everest Health Solutions,Licensed ACA Health Insurance Agent,Open,Health,ACA,Sales,"550 Fairway Dr #106, Deerfield Beach, FL 33441, USA",In=Person,3,3,TRUE,TRUE,FALSE,FALSE,15,,31,"8 AM - 5 PM, Monday to Friday",$0.00 ,$0.00 ,15-25/deal,"$1,500 ",$150.00 ,,0,1,1,,
Lilyka Health Insurance Agency,Licensed Retention Specialist,Closed,Health,ACA/Limited,Sales,"1001 NW 62nd St #410, Fort Lauderdale, FL 33309, USA",In-Person,3,12,FALSE,FALSE,FALSE,FALSE,1,,35,"Full-Time, 10 AM to 7 PM EST","$1,000.00 ",$0.00 ,bonuses,"$1,200 ",$200.00 ,,0,1,1,,
Lilyka Health Insurance Agency,Licensed ACA Health Insurance Agent,Open ,Health,ACA/Limited,Sales,"1001 NW 62nd St #410, Fort Lauderdale, FL 33309, USA",In-Person,24,12,TRUE,TRUE,FALSE,FALSE,1,,35,"Full-Time, 10 AM to 7 PM EST",$0.00 ,$0.00 ,"30-60%  Final Expense, Limited Med Products: 30-50% , Ancillaries: 20-35% commission based on volume","$1,500 ",$200.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-health-insurance-agent-35614,0,1,1,35614,"
Experienced Health Insurance Sales Agent. Engage directly with clients. Meet insurance needs with limited med products. Advise and sell health and life insurance policies. Focus on ACA products. Drive sales with exceptional service. Deep product knowledge. Exceed sales benchmarks and targets. Active 2-15 insurance license. Eligible to sell health and life insurance products. Excellent communication and interpersonal skills. Strong ability to identify and meet customer needs effectively."
Proactive Health,Licensed ACA Health Insurance Agent,On-hold,Health,ACA,Sales,"2200 N Federal Hwy #202, Boca Raton, FL 33431, USA",In-Person,3,3,TRUE,TRUE,FALSE,FALSE,15,,27,Full-time availability required,$0.00 ,$500.00 , $25 per deal with a $40 bonus only if your CPA is below $60.,"$2,200 ",$200.00 ,,0,1,1,,
Voca LLC,Experienced Healthcare Recruiter,Open ,Recruiting,Healthcare Recruiting,Sales,"9999 Carver Rd #145, Cincinnati, OH 45242, USA",In-Person,24,12,FALSE,FALSE,FALSE,FALSE,0,,42,"8 AM - 5 PM, Monday through Friday  EST",$900.00 ,$0.00 ,"Earn weekly commissions based on invoiced Gross Profit (GP$), with rates ranging from 2% to 20% depending on the invoiced amount. Additional tiered commissions available under Plan B when specific billing targets are met.","$1,800 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/experienced-healthcare-recruiter-35423,0,1,1,35423,"
Experienced Healthcare Recruiter. Develop and sustain interest among healthcare professionals. Manage recruitment for nursing and allied healthcare positions. Proven experience in healthcare recruiting, especially in nursing or allied fields. Competitive, ""shark"" mentality. Onsite work five days a week. Competent computer skills. Effective multitasking. Experience managing contingent labor preferred."
Senior Protect Solutions INC,Remote Licensed Medicare Agent,Open ,Health,Medicare,Sales,Remote ,Remote,3,12,TRUE,TRUE,FALSE,FALSE,20,,45,"Flexible, Prime hours are 7 AM - 3 PM PT",$0.00 ,$0.00 ,$250-$375 per deal,"$1,800 ",$125.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-medicare-agent-35616,0,1,1,35616,"An experienced Medicare insurance sales agent with a provable track record of success in the industry. Has at least 12 months of direct Medicare sales experience and a history of closing over 2 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in Sunfire. Has either a 215 or 240 license and has licensure in at least 20 states, has release letters from carriers and possesses an active 2024 AHIP certification.Has a fully equipped home office, including a computer, high-speed internet connection, and a quiet place to work."
Top Tier Moving,Experienced Moving Broker Sales Representative,On-hold,Moving,Long Distnace Moving Brokerage,Sales,"1712 S Dixie Hwy #2nd, Lake Worth Beach, FL 33460, USA",In-Person,6,6,FALSE,FALSE,FALSE,FALSE,0,,29, 10 AM - 6 PM EST,$300.00 ,$0.00 ,20-30%.,"$1,800 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/experienced-moving-brokerage-sales-representative-35966,0,1,1,35966,Experienced Telemarketer. Handle inbound and outbound calls enthusiastically. Persuasive communication skills. Secure sales. Guide customers through sales process. Provide post-sale support. Surpass weekly sales quotas. Maintain professionalism and punctuality. Strong telemarketing or phone sales background. Proven track record of meeting sales targets. Familiarity with CRM and sales software. Experience with Granot software a plus. Highly motivated. Keen enthusiasm for sales. Driven by potential earnings. Experience in moving brokerage sector advantageous.
Coverall Health Group,Licensed ACA Health Insurance Agent,Open ,Health,ACA/Limited,Sales,261 n university drive suite 710 plantation Fl,In-Person,3,6,TRUE,TRUE,FALSE,FALSE,10,,38,"9 AM to 6 PM or 10 AM to 7 PM EST,",$600.00 ,$0.00 ,"$15 per hour base pay as a 1099 Independent Contractor, $10 to $25 per deal","$1,800 ",$150.00 ,,0,1,1,,
Eastern Financial Partners,Debt Relief Specialist,Open ,Debt,Debt,Sales,"3350 NW 2nd Ave a 2, Boca Raton, FL 33431, USA",In-Person,3,6,FALSE,FALSE,FALSE,FALSE,0,,42,"Monday to Friday, 10 AM - 7 PM EST",$500.00 ,$0.00 ,$500/week plus potential weekly commissions and bonuses.,"$1,100 ",$75.00 ,https://worxwebsolutions.vincere-digital.io/job/debt-relief-specialist-35649,0,1,1,35649,Fluent in English. Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Managed high volumes of client calls. Handled inquiries and processed information. Qualified clients based on criteria. Collected detailed business and debt information. Built and maintained strong client relationships. Ensured trust and professional interaction. Worked collaboratively. Met team targets. Excelled in task management and prioritization
Fusion Health Affiliates ,Licensed Experienced ACA Insurance Agent,On-hold,Health,ACA,Sales,"350 Camino Gardens Blvd #105, Boca Raton, FL 33432, USA",In-Person,3,12,TRUE,TRUE,FALSE,FALSE,10,"FL, TX, GA, AL, MS",31,"Monday to Friday, 9 AM to 6 PM EST",$600.00 ,$0.00 ,$10 to $30 per deal depending on volume and CPA,"$2,200 ",$100.00 ,,0,1,1,,
ACA Health Insurance Agency,Licensed ACA Health Insurance Agent,Closed,Health,ACA,Sales,"500 Fairway Dr #106, Deerfield Beach, FL 33441, USA",In-Person,12,12,TRUE,TRUE,TRUE,TRUE,10,,38,"Monday to Friday, 10 AM - 6 PM  EST",$600.00 ,$0.00 ,15-20/deal,"$2,000 ",$150.00 ,,0,1,1,,
Benefits Now,Remote Licensed ACA Health Insurance Agent,Open ,Health,ACA,Sales,Remote ,Remote,24,12,TRUE,TRUE,TRUE,TRUE,10,,35, 8AM to 5PM CST,$0.00 ,$0.00 ,$22-$30 per member depending on amount of deals,"$2,400 ",$125.00 ,,0,1,1,,
Top Tier Moving,Chief Technology Officer,Closed,Moving,Long Distnace Moving Brokerage,Sales,"1712 S Dixie Hwy #2nd, Lake Worth Beach, FL 33460, USA",In-Person,12,12,FALSE,FALSE,FALSE,FALSE,0,,33, Monday - Friday 9am-6pm EST,"$2,000.00 ",$0.00 ,bonuses,"$2,000 ",$200.00 ,,0,1,1,,
Synergy,Health Insurance Sales Fronter,Open ,Health,ACA ,Sales,"350 Camino Gardens Blvd #201, Boca Raton, FL 33432, USA",In-Person,3,3,FALSE,FALSE,FALSE,FALSE,0,,31,Full Time,$600.00 ,$0.00 ,5-10/front,"$1,000 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/health-insurance-sales-fronter-35652,0,1,1,35652,Fluent in English. Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Learned and performed as a Fronter/Qualifier in the health insurance industry. Engaged with clients in a kind and courteous manner. Contributed to the team with a positive attitude and readiness to learn. No prior experience required; just a good attitude and eagerness to learn. Basic computer skills. Handled client interactions professionally.
Synergy,Experienced Health Insurance Customer Service Agent,Open,Health,ACA ,Customer Service,"350 Camino Gardens Blvd #201, Boca Raton, FL 33432, USA",In-Person,3,3,FALSE,FALSE,FALSE,FALSE,0,,31,Full Time,$600.00 ,$0.00 ,5-10/front,"$1,000 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/experienced-health-insurance-customer-service-36002,,,,36002,"Experienced Customer Service Agent. Minimum 1 year in Call Center. Excellent communication skills. Handles inbound calls, including retention of cancellations. Conducts outbound calls regarding payments. Maintains professionalism and positive demeanor. Thrives in fast-paced environment. Adapts quickly to new processes. Reliable transportation to Boca Raton office"
Clarity,Sales Representative,Open ,MCA,MCA,Sales,"150 SE 2nd Ave STE 1403, Miami, FL 33131, USA",In-Person,3,0,FALSE,FALSE,FALSE,FALSE,0,,27,9 AM to 6 PM EST,$250.00 ,$0.00 , splits ranging from 25-40% based on production volume,"$1,000 ",$75.00 ,https://worxwebsolutions.vincere-digital.io/job/sales-representative-35612,0,1,1,35612,"Engaged in 200-300 calls per day, reaching out to merchants to discuss financing options. Collected updated documents. Assisted closers in streamlining the financing process. Thrived on inbound leads. Utilized extensive database of clients to secure financing deals. Powerhouse on the phone. Engaged and persuaded effectively. No specific state licensing required. Hustled in dynamic pace set by a team with NYC drive in Miami."
